자치구,cctv댓수,2017년 이전,최근 3개년,최근 증가율
종로구,1772,1435,294,20.49
중구,2333,1142,902,78.98
용산구,2383,1334,1049,78.64
성동구,3602,2413,1113,46.13
광진구,2588,1204,1352,112.29
동대문구,2497,1805,629,34.85
중랑구,3296,1131,2161,191.07
성북구,3958,1938,1832,94.53
강북구,2462,443,1980,446.95
도봉구,1629,710,588,82.82
노원구,2415,1389,922,66.38
은평구,3791,1680,1980,117.86
서대문구,2940,1962,977,49.8
마포구,2421,1264,1137,89.95
양천구,3312,2573,739,28.72
강서구,2560,1365,1072,78.53
구로구,4075,2738,1337,48.83
금천구,2374,948,1417,149.47
영등포구,3778,1837,1936,105.39
동작구,2297,1245,1041,83.61
관악구,4942,3274,1634,49.91
서초구,3704,2495,1206,48.34
강남구,6502,4022,2479,61.64
송파구,2854,908,1845,203.19
강동구,2547,1200,1347,112.25
