명소,도로명주소,위도,경도
산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,33.4348735442325,126.688504038171
거문오름,제주특별자치도 제주시 조천읍 거문오름길 5,33.4595817723328,126.712603527413
송악산,제주특별자치도 서귀포시 대정읍 형제해안로 318,33.2069308530747,126.290224423429
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 93-66,33.4326479593104,126.930174112734
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,33.5283774190149,126.771615754394
성산일출봉,제주특별자치도 서귀포시 성산읍 일주동로 4282,33.4462541339754,126.911560925407
오설록,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.3059196580856,126.289373709158
주상절리,제주특별자치도 서귀포시 이어도로 36-30(중문동),33.2379943545484,126.426017654679
천제연폭포,제주특별자치도 서귀포시 천제연로 132(중문동),33.2526754970693,126.418374242413
제주관덕정,제주특별자치도 제주시 관덕로 19(삼도이동),33.5133680610848,126.521474544312
